,NDVI,X,Y,date
274,3620,39.741,3.651,20240305
275,3377,39.791,3.651,20240305
276,3377,39.841,3.651,20240305
277,3148,39.891,3.651,20240305
278,3148,39.94,3.652,20240305
279,3078,39.97,3.667,20240305
280,1995,37.701,3.716,20240305
281,2421,37.743,3.704,20240305
282,2421,37.791,3.701,20240305
283,3595,37.841,3.701,20240305
284,3595,37.891,3.701,20240305
285,3213,37.941,3.701,20240305
286,4577,37.991,3.701,20240305
287,4577,38.041,3.701,20240305
288,3138,38.091,3.701,20240305
289,3138,38.141,3.701,20240305
290,3391,38.191,3.701,20240305
291,3391,38.241,3.701,20240305
292,4683,38.291,3.701,20240305
293,4683,38.341,3.701,20240305
294,5023,38.391,3.701,20240305
295,4359,38.441,3.701,20240305
296,4359,38.491,3.701,20240305
297,3998,38.541,3.701,20240305
298,3998,38.591,3.701,20240305
299,4758,38.641,3.701,20240305
300,4758,38.691,3.701,20240305
301,4892,38.741,3.701,20240305
302,4892,38.791,3.701,20240305
303,4593,38.841,3.701,20240305
304,4477,38.891,3.701,20240305
305,4477,38.941,3.701,20240305
306,4096,38.991,3.701,20240305
307,4096,39.041,3.701,20240305
308,4436,39.091,3.701,20240305
309,4436,39.141,3.701,20240305
310,4124,39.191,3.701,20240305
311,4124,39.241,3.701,20240305
312,3535,39.291,3.701,20240305
313,3450,39.341,3.701,20240305
314,3450,39.391,3.701,20240305
315,3541,39.441,3.701,20240305
316,3541,39.491,3.701,20240305
317,3714,39.541,3.701,20240305
318,3714,39.591,3.701,20240305
319,3530,39.641,3.701,20240305
320,3530,39.691,3.701,20240305
321,3416,39.741,3.701,20240305
322,3180,39.791,3.701,20240305
323,3180,39.841,3.701,20240305
324,2912,39.891,3.701,20240305
325,2912,39.941,3.701,20240305
326,3078,39.978,3.705,20240305
327,1625,37.609,3.771,20240305
328,2315,37.646,3.759,20240305
329,1995,37.691,3.751,20240305
330,2421,37.741,3.751,20240305
331,2421,37.791,3.751,20240305
332,3595,37.841,3.751,20240305
333,3595,37.891,3.751,20240305
334,3213,37.941,3.751,20240305
335,4577,37.991,3.751,20240305
336,4577,38.041,3.751,20240305
337,3138,38.091,3.751,20240305
338,3138,38.141,3.751,20240305
339,3391,38.191,3.751,20240305
340,3391,38.241,3.751,20240305
341,4683,38.291,3.751,20240305
342,4683,38.341,3.751,20240305
343,5023,38.391,3.751,20240305
344,4359,38.441,3.751,20240305
345,4359,38.491,3.751,20240305
346,3998,38.541,3.751,20240305
347,3998,38.591,3.751,20240305
348,4758,38.641,3.751,20240305
349,4758,38.691,3.751,20240305
350,4892,38.741,3.751,20240305
351,4892,38.791,3.751,20240305
352,4593,38.841,3.751,20240305
353,4477,38.891,3.751,20240305
354,4477,38.941,3.751,20240305
355,4096,38.991,3.751,20240305
356,4096,39.041,3.751,20240305
357,4436,39.091,3.751,20240305
358,4436,39.141,3.751,20240305
359,4124,39.191,3.751,20240305
360,4124,39.241,3.751,20240305
361,3535,39.291,3.751,20240305
362,3450,39.341,3.751,20240305
363,3450,39.391,3.751,20240305
364,3541,39.441,3.751,20240305
365,3541,39.491,3.751,20240305
366,3714,39.541,3.751,20240305
367,3714,39.591,3.751,20240305
368,3530,39.641,3.751,20240305
369,3530,39.691,3.751,20240305
370,3416,39.741,3.751,20240305
371,3180,39.791,3.751,20240305
372,3180,39.841,3.751,20240305
373,2912,39.891,3.751,20240305
374,2912,39.941,3.751,20240305
375,3078,39.99,3.752,20240305
376,3289,40.038,3.762,20240305
377,3184,40.077,3.771,20240305
378,2512,41.111,3.774,20240305
379,2551,41.145,3.77,20240305
380,2551,41.192,3.767,20240305
381,2675,41.238,3.769,20240305
382,2675,41.294,3.769,20240305
383,2706,41.34,3.768,20240305
384,2706,41.39,3.771,20240305
385,2555,41.44,3.771,20240305
386,2555,41.485,3.774,20240305
387,2330,41.523,3.775,20240305
388,2316,41.764,3.775,20240305
389,2495,41.796,3.771,20240305
390,2495,41.839,3.77,20240305
391,2492,41.877,3.773,20240305
392,1625,37.55,3.815,20240305
393,1625,37.593,3.803,20240305
394,2315,37.641,3.801,20240305
395,2315,37.691,3.801,20240305
396,3157,37.741,3.801,20240305
397,3157,37.791,3.801,20240305
398,3040,37.841,3.801,20240305
399,3040,37.891,3.801,20240305
400,3553,37.941,3.801,20240305
401,3278,37.991,3.801,20240305
402,3278,38.041,3.801,20240305
403,3067,38.091,3.801,20240305
404,3067,38.141,3.801,20240305
405,4232,38.191,3.801,20240305
406,4232,38.241,3.801,20240305
407,4656,38.291,3.801,20240305
408,4656,38.341,3.801,20240305
409,4818,38.391,3.801,20240305
410,3814,38.441,3.801,20240305
411,3814,38.491,3.801,20240305
412,3650,38.541,3.801,20240305
413,3650,38.591,3.801,20240305
414,4035,38.641,3.801,20240305
415,4035,38.691,3.801,20240305
416,4577,38.741,3.801,20240305
417,4577,38.791,3.801,20240305
418,4274,38.841,3.801,20240305
419,3965,38.891,3.801,20240305
420,3965,38.941,3.801,20240305
421,3679,38.991,3.801,20240305
422,3679,39.041,3.801,20240305
423,4177,39.091,3.801,20240305
424,4177,39.141,3.801,20240305
425,4035,39.191,3.801,20240305
426,4035,39.241,3.801,20240305
427,3581,39.291,3.801,20240305
428,3680,39.341,3.801,20240305
429,3680,39.391,3.801,20240305
430,4358,39.441,3.801,20240305
431,4358,39.491,3.801,20240305
432,3445,39.541,3.801,20240305
433,3445,39.591,3.801,20240305
434,3455,39.641,3.801,20240305
435,3455,39.691,3.801,20240305
436,3797,39.741,3.801,20240305
437,3797,39.791,3.801,20240305
438,3294,39.841,3.801,20240305
439,3361,39.891,3.801,20240305
440,3361,39.941,3.801,20240305
441,3289,39.991,3.801,20240305
442,3289,40.041,3.801,20240305
443,3184,40.09,3.802,20240305
444,3184,40.137,3.811,20240305
445,3315,40.176,3.821,20240305
446,2599,41.05,3.816,20240305
447,2512,41.093,3.803,20240305
448,2512,41.141,3.801,20240305
449,2551,41.191,3.801,20240305
450,2675,41.241,3.801,20240305
451,2675,41.291,3.801,20240305
452,2706,41.341,3.801,20240305
453,2706,41.391,3.801,20240305
454,2555,41.441,3.801,20240305
455,2555,41.491,3.801,20240305
456,2330,41.54,3.802,20240305
457,2330,41.59,3.807,20240305
458,2361,41.642,3.804,20240305
459,2316,41.691,3.803,20240305
460,2316,41.742,3.804,20240305
461,2495,41.791,3.801,20240305
462,2495,41.841,3.801,20240305
463,2492,41.891,3.801,20240305
464,2492,41.938,3.809,20240305
465,2430,41.979,3.819,20240305
466,1539,37.457,3.87,20240305
467,1539,37.495,3.858,20240305
468,1727,37.541,3.851,20240305
469,1727,37.591,3.851,20240305
470,2199,37.641,3.851,20240305
471,2199,37.691,3.851,20240305
472,2782,37.741,3.851,20240305
473,2782,37.791,3.851,20240305
474,3290,37.841,3.851,20240305
475,3290,37.891,3.851,20240305
476,3892,37.941,3.851,20240305
477,3892,37.991,3.851,20240305
478,3456,38.041,3.851,20240305
479,3818,38.091,3.851,20240305
480,3818,38.141,3.851,20240305
481,4898,38.191,3.851,20240305
482,4898,38.241,3.851,20240305
483,5669,38.291,3.851,20240305
484,5669,38.341,3.851,20240305
